  Current Time (s),Current Time (years),Pore Volume,Phase1-S8- Volume rate,Phase1-S8- Cumulative production
 0.58500000000E+05,0.18550228311E-02,0.16000000000E-03,0.55499993338E-08,0.32467496102E-03
 0.58590000000E+05,0.18578767123E-02,0.16000000000E-03,0.55499993338E-08,0.32517446096E-03
 0.58680000000E+05,0.18607305936E-02,0.16000000000E-03,0.55499993338E-08,0.32567396091E-03
 0.58770000000E+05,0.18635844749E-02,0.16000000000E-03,0.55499993338E-08,0.32617346085E-03
 0.58860000000E+05,0.18664383562E-02,0.16000000000E-03,0.55499993338E-08,0.32667296079E-03
 0.58950000000E+05,0.18692922374E-02,0.16000000000E-03,0.55499993338E-08,0.32717246073E-03
 0.59040000000E+05,0.18721461187E-02,0.16000000000E-03,0.55499993338E-08,0.32767196067E-03
 0.59130000000E+05,0.18750000000E-02,0.16000000000E-03,0.55499993338E-08,0.32817146061E-03
 0.59220000000E+05,0.18778538813E-02,0.16000000000E-03,0.55499993338E-08,0.32867096055E-03
 0.59310000000E+05,0.18807077626E-02,0.16000000000E-03,0.55499993338E-08,0.32917046049E-03
 0.59400000000E+05,0.18835616438E-02,0.16000000000E-03,0.55499993338E-08,0.32966996043E-03
 0.59490000000E+05,0.18864155251E-02,0.16000000000E-03,0.55499993338E-08,0.33016946037E-03
 0.59580000000E+05,0.18892694064E-02,0.16000000000E-03,0.55499993338E-08,0.33066896031E-03
 0.59670000000E+05,0.18921232877E-02,0.16000000000E-03,0.55499993338E-08,0.33116846025E-03
 0.59760000000E+05,0.18949771689E-02,0.16000000000E-03,0.55499993338E-08,0.33166796019E-03
 0.59850000000E+05,0.18978310502E-02,0.16000000000E-03,0.55499993338E-08,0.33216746013E-03
 0.59940000000E+05,0.19006849315E-02,0.16000000000E-03,0.55499993338E-08,0.33266696007E-03
 0.60030000000E+05,0.19035388128E-02,0.16000000000E-03,0.55499993338E-08,0.33316646001E-03
 0.60120000000E+05,0.19063926941E-02,0.16000000000E-03,0.55499993338E-08,0.33366595995E-03
 0.60210000000E+05,0.19092465753E-02,0.16000000000E-03,0.55499993338E-08,0.33416545989E-03
 0.60300000000E+05,0.19121004566E-02,0.16000000000E-03,0.55499993338E-08,0.33466495983E-03
 0.60390000000E+05,0.19149543379E-02,0.16000000000E-03,0.55499993338E-08,0.33516445977E-03
 0.60480000000E+05,0.19178082192E-02,0.16000000000E-03,0.55499993338E-08,0.33566395971E-03
 0.60570000000E+05,0.19206621005E-02,0.16000000000E-03,0.55499993338E-08,0.33616345965E-03
 0.60660000000E+05,0.19235159817E-02,0.16000000000E-03,0.55499993338E-08,0.33666295959E-03
 0.60750000000E+05,0.19263698630E-02,0.16000000000E-03,0.55499993338E-08,0.33716245953E-03
 0.60840000000E+05,0.19292237443E-02,0.16000000000E-03,0.55499993338E-08,0.33766195947E-03
 0.60930000000E+05,0.19320776256E-02,0.16000000000E-03,0.55499993338E-08,0.33816145941E-03
 0.61020000000E+05,0.19349315068E-02,0.16000000000E-03,0.55499993338E-08,0.33866095935E-03
 0.61110000000E+05,0.19377853881E-02,0.16000000000E-03,0.55499993338E-08,0.33916045929E-03
 0.61200000000E+05,0.19406392694E-02,0.16000000000E-03,0.55499993338E-08,0.33965995923E-03
 0.61290000000E+05,0.19434931507E-02,0.16000000000E-03,0.55499993338E-08,0.34015945917E-03
 0.61380000000E+05,0.19463470320E-02,0.16000000000E-03,0.55499993338E-08,0.34065895911E-03
 0.61470000000E+05,0.19492009132E-02,0.16000000000E-03,0.55499993338E-08,0.34115845905E-03
 0.61560000000E+05,0.19520547945E-02,0.16000000000E-03,0.55499993338E-08,0.34165795899E-03
 0.61650000000E+05,0.19549086758E-02,0.16000000000E-03,0.55499993338E-08,0.34215745893E-03
 0.61740000000E+05,0.19577625571E-02,0.16000000000E-03,0.55499993338E-08,0.34265695887E-03
 0.61830000000E+05,0.19606164384E-02,0.16000000000E-03,0.55499993338E-08,0.34315645881E-03
 0.61920000000E+05,0.19634703196E-02,0.16000000000E-03,0.55499993338E-08,0.34365595875E-03
 0.62010000000E+05,0.19663242009E-02,0.16000000000E-03,0.55499993338E-08,0.34415545869E-03
 0.62100000000E+05,0.19691780822E-02,0.16000000000E-03,0.55499993338E-08,0.34465495863E-03
