  Current Time (s),Current Time (years),Pore Volume,Phase1-S8- Volume rate,Phase1-S8- Cumulative production
 0.74700000000E+04,0.23687214612E-03,0.16000000000E-03,0.55499993338E-08,0.41458495023E-04
 0.75600000000E+04,0.23972602740E-03,0.16000000000E-03,0.55499993338E-08,0.41957994963E-04
 0.76500000000E+04,0.24257990868E-03,0.16000000000E-03,0.55499993338E-08,0.42457494903E-04
 0.77400000000E+04,0.24543378995E-03,0.16000000000E-03,0.55499993338E-08,0.42956994843E-04
 0.78300000000E+04,0.24828767123E-03,0.16000000000E-03,0.55499993338E-08,0.43456494783E-04
 0.79200000000E+04,0.25114155251E-03,0.16000000000E-03,0.55499993338E-08,0.43955994723E-04
 0.80100000000E+04,0.25399543379E-03,0.16000000000E-03,0.55499993338E-08,0.44455494663E-04
 0.81000000000E+04,0.25684931507E-03,0.16000000000E-03,0.55499993338E-08,0.44954994603E-04
 0.81900000000E+04,0.25970319635E-03,0.16000000000E-03,0.55499993338E-08,0.45454494543E-04
 0.82800000000E+04,0.26255707763E-03,0.16000000000E-03,0.55499993338E-08,0.45953994484E-04
 0.83700000000E+04,0.26541095890E-03,0.16000000000E-03,0.55499993338E-08,0.46453494424E-04
 0.84600000000E+04,0.26826484018E-03,0.16000000000E-03,0.55499993338E-08,0.46952994364E-04
 0.85500000000E+04,0.27111872146E-03,0.16000000000E-03,0.55499993338E-08,0.47452494304E-04
 0.86400000000E+04,0.27397260274E-03,0.16000000000E-03,0.55499993338E-08,0.47951994244E-04
 0.87300000000E+04,0.27682648402E-03,0.16000000000E-03,0.55499993338E-08,0.48451494184E-04
 0.88200000000E+04,0.27968036530E-03,0.16000000000E-03,0.55499993338E-08,0.48950994124E-04
 0.89100000000E+04,0.28253424658E-03,0.16000000000E-03,0.55499993338E-08,0.49450494064E-04
 0.90000000000E+04,0.28538812785E-03,0.16000000000E-03,0.55499993338E-08,0.49949994004E-04
 0.90900000000E+04,0.28824200913E-03,0.16000000000E-03,0.55499993338E-08,0.50449493944E-04
 0.91800000000E+04,0.29109589041E-03,0.16000000000E-03,0.55499993338E-08,0.50948993884E-04
 0.92700000000E+04,0.29394977169E-03,0.16000000000E-03,0.55499993338E-08,0.51448493824E-04
 0.93600000000E+04,0.29680365297E-03,0.16000000000E-03,0.55499993338E-08,0.51947993764E-04
 0.94500000000E+04,0.29965753425E-03,0.16000000000E-03,0.55499993338E-08,0.52447493704E-04
 0.95400000000E+04,0.30251141553E-03,0.16000000000E-03,0.55499993338E-08,0.52946993644E-04
 0.96300000000E+04,0.30536529680E-03,0.16000000000E-03,0.55499993338E-08,0.53446493584E-04
 0.97200000000E+04,0.30821917808E-03,0.16000000000E-03,0.55499993338E-08,0.53945993524E-04
 0.98100000000E+04,0.31107305936E-03,0.16000000000E-03,0.55499993338E-08,0.54445493464E-04
 0.99000000000E+04,0.31392694064E-03,0.16000000000E-03,0.55499993338E-08,0.54944993404E-04
 0.99900000000E+04,0.31678082192E-03,0.16000000000E-03,0.55499993338E-08,0.55444493344E-04
 0.10080000000E+05,0.31963470320E-03,0.16000000000E-03,0.55499993338E-08,0.55943993284E-04
 0.10170000000E+05,0.32248858447E-03,0.16000000000E-03,0.55499993338E-08,0.56443493224E-04
 0.10260000000E+05,0.32534246575E-03,0.16000000000E-03,0.55499993338E-08,0.56942993164E-04
 0.10350000000E+05,0.32819634703E-03,0.16000000000E-03,0.55499993338E-08,0.57442493104E-04
 0.10440000000E+05,0.33105022831E-03,0.16000000000E-03,0.55499993338E-08,0.57941993044E-04
 0.10530000000E+05,0.33390410959E-03,0.16000000000E-03,0.55499993338E-08,0.58441492984E-04
 0.10620000000E+05,0.33675799087E-03,0.16000000000E-03,0.55499993338E-08,0.58940992925E-04
 0.10710000000E+05,0.33961187215E-03,0.16000000000E-03,0.55499993338E-08,0.59440492865E-04
 0.10800000000E+05,0.34246575342E-03,0.16000000000E-03,0.55499993338E-08,0.59939992805E-04
 0.10890000000E+05,0.34531963470E-03,0.16000000000E-03,0.55499993338E-08,0.60439492745E-04
 0.10980000000E+05,0.34817351598E-03,0.16000000000E-03,0.55499993338E-08,0.60938992685E-04
 0.11070000000E+05,0.35102739726E-03,0.16000000000E-03,0.55499993338E-08,0.61438492625E-04
 0.11160000000E+05,0.35388127854E-03,0.16000000000E-03,0.55499993338E-08,0.61937992565E-04
 0.11250000000E+05,0.35673515982E-03,0.16000000000E-03,0.55499993338E-08,0.62437492505E-04
 0.11340000000E+05,0.35958904110E-03,0.16000000000E-03,0.55499993338E-08,0.62936992445E-04
 0.11430000000E+05,0.36244292237E-03,0.16000000000E-03,0.55499993338E-08,0.63436492385E-04
 0.11520000000E+05,0.36529680365E-03,0.16000000000E-03,0.55499993338E-08,0.63935992325E-04
 0.11610000000E+05,0.36815068493E-03,0.16000000000E-03,0.55499993338E-08,0.64435492265E-04
 0.11700000000E+05,0.37100456621E-03,0.16000000000E-03,0.55499993338E-08,0.64934992205E-04
 0.11790000000E+05,0.37385844749E-03,0.16000000000E-03,0.55499993338E-08,0.65434492145E-04
 0.11880000000E+05,0.37671232877E-03,0.16000000000E-03,0.55499993338E-08,0.65933992085E-04
 0.11970000000E+05,0.37956621005E-03,0.16000000000E-03,0.55499993338E-08,0.66433492025E-04
 0.12060000000E+05,0.38242009132E-03,0.16000000000E-03,0.55499993338E-08,0.66932991965E-04
 0.12150000000E+05,0.38527397260E-03,0.16000000000E-03,0.55499993338E-08,0.67432491905E-04
 0.12240000000E+05,0.38812785388E-03,0.16000000000E-03,0.55499993338E-08,0.67931991845E-04
 0.12330000000E+05,0.39098173516E-03,0.16000000000E-03,0.55499993338E-08,0.68431491785E-04
 0.12420000000E+05,0.39383561644E-03,0.16000000000E-03,0.55499993338E-08,0.68930991725E-04
 0.12510000000E+05,0.39668949772E-03,0.16000000000E-03,0.55499993338E-08,0.69430491665E-04
 0.12600000000E+05,0.39954337900E-03,0.16000000000E-03,0.55499993338E-08,0.69929991605E-04
 0.12690000000E+05,0.40239726027E-03,0.16000000000E-03,0.55499993338E-08,0.70429491545E-04
 0.12780000000E+05,0.40525114155E-03,0.16000000000E-03,0.55499993338E-08,0.70928991485E-04
 0.12870000000E+05,0.40810502283E-03,0.16000000000E-03,0.55499993338E-08,0.71428491425E-04
 0.12960000000E+05,0.41095890411E-03,0.16000000000E-03,0.55499993338E-08,0.71927991366E-04
 0.13050000000E+05,0.41381278539E-03,0.16000000000E-03,0.55499993338E-08,0.72427491306E-04
 0.13140000000E+05,0.41666666667E-03,0.16000000000E-03,0.55499993338E-08,0.72926991246E-04
 0.13230000000E+05,0.41952054795E-03,0.16000000000E-03,0.55499993338E-08,0.73426491186E-04
 0.13320000000E+05,0.42237442922E-03,0.16000000000E-03,0.55499993338E-08,0.73925991126E-04
 0.13410000000E+05,0.42522831050E-03,0.16000000000E-03,0.55499993338E-08,0.74425491066E-04
 0.13500000000E+05,0.42808219178E-03,0.16000000000E-03,0.55499993338E-08,0.74924991006E-04
 0.13590000000E+05,0.43093607306E-03,0.16000000000E-03,0.55499993338E-08,0.75424490946E-04
 0.13680000000E+05,0.43378995434E-03,0.16000000000E-03,0.55499993338E-08,0.75923990886E-04
 0.13770000000E+05,0.43664383562E-03,0.16000000000E-03,0.55499993338E-08,0.76423490826E-04
 0.13860000000E+05,0.43949771689E-03,0.16000000000E-03,0.55499993338E-08,0.76922990766E-04
 0.13950000000E+05,0.44235159817E-03,0.16000000000E-03,0.55499993338E-08,0.77422490706E-04
 0.14040000000E+05,0.44520547945E-03,0.16000000000E-03,0.55499993338E-08,0.77921990646E-04
 0.14130000000E+05,0.44805936073E-03,0.16000000000E-03,0.55499993338E-08,0.78421490586E-04
 0.14220000000E+05,0.45091324201E-03,0.16000000000E-03,0.55499993338E-08,0.78920990526E-04
 0.14310000000E+05,0.45376712329E-03,0.16000000000E-03,0.55499993338E-08,0.79420490466E-04
 0.14400000000E+05,0.45662100457E-03,0.16000000000E-03,0.55499993338E-08,0.79919990406E-04
 0.14490000000E+05,0.45947488584E-03,0.16000000000E-03,0.55499993338E-08,0.80419490346E-04
 0.14580000000E+05,0.46232876712E-03,0.16000000000E-03,0.55499993338E-08,0.80918990286E-04
 0.14670000000E+05,0.46518264840E-03,0.16000000000E-03,0.55499993338E-08,0.81418490226E-04
 0.14760000000E+05,0.46803652968E-03,0.16000000000E-03,0.55499993338E-08,0.81917990166E-04
 0.14850000000E+05,0.47089041096E-03,0.16000000000E-03,0.55499993338E-08,0.82417490106E-04
 0.14940000000E+05,0.47374429224E-03,0.16000000000E-03,0.55499993338E-08,0.82916990046E-04
 0.15030000000E+05,0.47659817352E-03,0.16000000000E-03,0.55499993338E-08,0.83416489986E-04
 0.15120000000E+05,0.47945205479E-03,0.16000000000E-03,0.55499993338E-08,0.83915989926E-04
 0.15210000000E+05,0.48230593607E-03,0.16000000000E-03,0.55499993338E-08,0.84415489866E-04
 0.15300000000E+05,0.48515981735E-03,0.16000000000E-03,0.55499993338E-08,0.84914989807E-04
 0.15390000000E+05,0.48801369863E-03,0.16000000000E-03,0.55499993338E-08,0.85414489747E-04
 0.15480000000E+05,0.49086757991E-03,0.16000000000E-03,0.55499993338E-08,0.85913989687E-04
 0.15570000000E+05,0.49372146119E-03,0.16000000000E-03,0.55499993338E-08,0.86413489627E-04
 0.15660000000E+05,0.49657534247E-03,0.16000000000E-03,0.55499993338E-08,0.86912989567E-04
 0.15750000000E+05,0.49942922374E-03,0.16000000000E-03,0.55499993338E-08,0.87412489507E-04
 0.15840000000E+05,0.50228310502E-03,0.16000000000E-03,0.55499993338E-08,0.87911989447E-04
 0.15930000000E+05,0.50513698630E-03,0.16000000000E-03,0.55499993338E-08,0.88411489387E-04
 0.16020000000E+05,0.50799086758E-03,0.16000000000E-03,0.55499993338E-08,0.88910989327E-04
 0.16110000000E+05,0.51084474886E-03,0.16000000000E-03,0.55499993338E-08,0.89410489267E-04
